Ag,X
a,adj
ad,X
an,X
b,X
c,cnj
dg,X
d,adv
e,X
f,X
g,X
h,X
i,idiom
j,X
k,postposition
l,X
m,num
Ng,X
n,n
nr,n
ns,np
nt,np
nz,np
o,X
p,X
q,X
r,X
s,X
tg,X
t,X
u,X
vg,X
v,vblex
vd,X
vn,X
w,X
x,X
y,X
z,X
un,X
